emotion,video_link
Fear,https://www.youtube.com/watch?v=iFjTADbRXO8
Fear,https://www.youtube.com/watch?v=hntri2Hdx7I
Fear,https://www.youtube.com/watch?v=RmGznCirtyY
Fear,https://www.youtube.com/watch?v=Iryc8XNIjOU
Fear,https://www.youtube.com/watch?v=z47QnMCiREc
Fear,https://www.youtube.com/watch?v=3qQ4Muk9GLk
Fear,https://www.youtube.com/watch?v=MCueHEwdpls
Fear,https://www.youtube.com/watch?v=ZkW_QU-p4z4
Fear,https://www.youtube.com/watch?v=kvXY3nPzugw
Fear,https://www.youtube.com/watch?v=J7y33Yun2VM
Fear,https://www.youtube.com/watch?v=G6NHQnTCjV0
Fear,https://www.youtube.com/watch?v=GiDTwDT6qyw
Fear,https://www.youtube.com/watch?v=UbSYYYKNaJQ
Fear,https://www.youtube.com/watch?v=hSmD4gDVP-k
Fear,https://www.youtube.com/watch?v=oFH4dtrJ8fQ
Fear,https://www.youtube.com/watch?v=oxwN4P2BluU
Fear,https://www.youtube.com/watch?v=PEgY6KtQ2Hk
Fear,https://www.youtube.com/watch?v=Ddz-ae67Z4A
Fear,https://www.youtube.com/watch?v=RqEJmT0QtkE
Fear,https://www.youtube.com/watch?v=67uglcEbKBY
Fear,https://www.youtube.com/watch?v=lZxRTADNxsk
Fear,https://www.youtube.com/watch?v=RPKpW1ZJF0k
Fear,https://www.youtube.com/watch?v=uD2790VctOI
Fear,https://www.youtube.com/watch?v=0QfHcfuPC0A
Fear,https://www.youtube.com/watch?v=cmMjVfLRDbM
Fear,https://www.youtube.com/watch?v=-dCcPb2FqMQ
Fear,https://www.youtube.com/watch?v=K97hv9vC0BE
Fear,https://www.youtube.com/watch?v=Ln8zd9cgVSY
Fear,https://www.youtube.com/watch?v=5-Y-mDv_WW8
Fear,https://www.youtube.com/watch?v=dr2zdb2I1aM
Fear,https://www.youtube.com/watch?v=U0_g2CQD1pA
Fear,https://www.youtube.com/watch?v=UggDtthXIpk
Fear,https://www.youtube.com/watch?v=or3u9uERFKg
Fear,https://www.youtube.com/watch?v=ln8qPxMOoRk
Fear,https://www.youtube.com/watch?v=Qxeuvas4Alk
Fear,https://www.youtube.com/watch?v=lY--gXvYc_M
Fear,https://www.youtube.com/watch?v=Yz-vMJcLPoI
Fear,https://www.youtube.com/watch?v=UdOtY4JCY2I
Fear,https://www.youtube.com/watch?v=_kpxDocWfFE
Fear,https://www.youtube.com/watch?v=2OAw56u874Y
Fear,https://www.youtube.com/watch?v=RxBwgv-R_BE
Fear,https://www.youtube.com/watch?v=ChoH_hLwtE0
Fear,https://www.youtube.com/watch?v=sLiVPPk2_o8
Fear,https://www.youtube.com/watch?v=FuQNZIdWy44
Fear,https://www.youtube.com/watch?v=kMgi8amOfMw
Fear,https://www.youtube.com/watch?v=4eCJsnjdivo
Fear,https://www.youtube.com/watch?v=H5VY4uyAFNg
Fear,https://www.youtube.com/watch?v=fxd15eI0dCg
Fear,https://www.youtube.com/watch?v=vFGYLQFJr7w
Fear,https://www.youtube.com/watch?v=HTYX2jUIyRA
Fear,https://www.youtube.com/watch?v=Ss1fZySTx4k
Fear,https://www.youtube.com/watch?v=k5Pj57-BeI4
Fear,https://www.youtube.com/watch?v=VCjeJEnOxec
